,year,month,qty out
0,2020,3,181311.0
1,2020,4,342900.0
2,2020,5,366805.0
3,2020,6,375369.0
4,2020,7,1066084.0
5,2020,8,751975.0
6,2020,9,568055.0
7,2020,10,1026497.0
8,2020,11,1369314.0
9,2020,12,2517866.0
10,2021,1,4406465.0
11,2021,2,1652366.0
12,2021,3,4120221.0
13,2021,4,544070.0
14,2021,12,57560.0
